spores,techs,locs,carriers,unit,flow_out_sum
0,battery,PRT_1,electricity,twh,0.00035927758391010286
0,battery,PRT_2,electricity,twh,0.00037033335679966304
0,biofuel_boiler,PRT_1,biofuel,twh,
0,biofuel_boiler,PRT_1,heat,twh,0.0020361720227876808
0,biofuel_boiler,PRT_2,biofuel,twh,
0,biofuel_boiler,PRT_2,heat,twh,0.0003093700972245831
0,biofuel_supply,PRT_1,biofuel,twh,8.927751348138035
0,biofuel_supply,PRT_2,biofuel,twh,16.009946836144277
0,biofuel_to_diesel,PRT_1,biofuel,twh,
0,biofuel_to_diesel,PRT_1,diesel,twh,0.8927124032168086
0,biofuel_to_diesel,PRT_2,biofuel,twh,
0,biofuel_to_diesel,PRT_2,diesel,twh,0.8075992687400112
0,biofuel_to_liquids,PRT_1,biofuel,twh,
0,biofuel_to_liquids,PRT_1,diesel,twh,0.0001749146500047767
0,biofuel_to_liquids,PRT_1,electricity,twh,1.7535303258624227e-05
0,biofuel_to_liquids,PRT_1,kerosene,twh,8.636136854872433e-05
0,biofuel_to_liquids,PRT_2,biofuel,twh,
0,biofuel_to_liquids,PRT_2,diesel,twh,2.6415802031249964e-05
0,biofuel_to_liquids,PRT_2,electricity,twh,2.648200704887214e-06
0,biofuel_to_liquids,PRT_2,kerosene,twh,1.304238847156953e-05
0,biofuel_to_methane,PRT_1,biofuel,twh,
0,biofuel_to_methane,PRT_1,methane,twh,4.625830430396676
0,biofuel_to_methane,PRT_2,biofuel,twh,
0,biofuel_to_methane,PRT_2,methane,twh,5.584529401883474
0,biofuel_to_methanol,PRT_1,biofuel,twh,
0,biofuel_to_methanol,PRT_1,methanol,twh,0.5381569335776811
0,biofuel_to_methanol,PRT_2,biofuel,twh,
0,biofuel_to_methanol,PRT_2,methanol,twh,4.345480441341518
0,ccgt,PRT_1,electricity,twh,1.3149979642110565e-05
0,ccgt,PRT_1,methane,twh,
0,ccgt,PRT_2,electricity,twh,1.0061145109075625e-05
0,ccgt,PRT_2,methane,twh,
0,chp_biofuel_extraction,PRT_1,biofuel,twh,
0,chp_biofuel_extraction,PRT_1,electricity,twh,8.710138251524945e-05
0,chp_biofuel_extraction,PRT_1,heat,twh,0.00013900860310379735
0,chp_biofuel_extraction,PRT_2,biofuel,twh,
0,chp_biofuel_extraction,PRT_2,electricity,twh,7.186136553382892e-05
0,chp_biofuel_extraction,PRT_2,heat,twh,0.00012259849163459802
0,chp_hydrogen,PRT_1,electricity,twh,8.310523211611655e-05
0,chp_hydrogen,PRT_1,heat,twh,5.41316151637137e-05
0,chp_hydrogen,PRT_1,hydrogen,twh,
0,chp_hydrogen,PRT_2,electricity,twh,8.890952345650209e-05
0,chp_hydrogen,PRT_2,heat,twh,5.938758551282872e-05
0,chp_hydrogen,PRT_2,hydrogen,twh,
0,chp_methane_extraction,PRT_1,electricity,twh,6.266035645145147e-05
0,chp_methane_extraction,PRT_1,heat,twh,2.239954239268809e-05
0,chp_methane_extraction,PRT_1,methane,twh,
0,chp_methane_extraction,PRT_2,electricity,twh,5.138398335180747e-05
0,chp_methane_extraction,PRT_2,heat,twh,1.8577684916687597e-05
0,chp_methane_extraction,PRT_2,methane,twh,
0,chp_wte_back_pressure,PRT_1,electricity,twh,0.28209232295408987
0,chp_wte_back_pressure,PRT_1,heat,twh,1.2770136540810837e-05
0,chp_wte_back_pressure,PRT_1,waste,twh,
0,chp_wte_back_pressure,PRT_2,electricity,twh,0.2760798995179214
0,chp_wte_back_pressure,PRT_2,heat,twh,1.351247632693383e-05
0,chp_wte_back_pressure,PRT_2,waste,twh,
0,dac,PRT_1,co2,100kt,32.155167608264534
0,dac,PRT_1,electricity,twh,
0,dac,PRT_2,co2,100kt,38.64586115343089
0,dac,PRT_2,electricity,twh,
0,demand_cooking,PRT_1,cooking,twh,
0,demand_cooking,PRT_2,cooking,twh,
0,demand_elec,PRT_1,electricity,twh,
0,demand_elec,PRT_2,electricity,twh,
0,demand_heat,PRT_1,heat,twh,
0,demand_heat,PRT_2,heat,twh,
0,demand_heavy_transport,PRT_1,transport,billion_km,
0,demand_heavy_transport,PRT_2,transport,billion_km,
0,demand_industry_diesel,PRT_1,diesel,twh,
0,demand_industry_diesel,PRT_2,diesel,twh,
0,demand_industry_kerosene,PRT_1,kerosene,twh,
0,demand_industry_kerosene,PRT_2,kerosene,twh,
0,demand_industry_methane,PRT_1,methane,twh,
0,demand_industry_methane,PRT_2,methane,twh,
0,demand_industry_methanol,PRT_1,methanol,twh,
0,demand_industry_methanol,PRT_2,methanol,twh,
0,demand_light_transport,PRT_1,transport,billion_km,
0,demand_light_transport,PRT_2,transport,billion_km,
0,el_export,ESP-sink,electricity,twh,
0,el_import,ESP-sink,electricity,twh,4.829248004934705
0,electric_heater,PRT_1,electricity,twh,
0,electric_heater,PRT_1,heat,twh,0.0006117995871984443
0,electric_heater,PRT_2,electricity,twh,
0,electric_heater,PRT_2,heat,twh,0.0007631014173496038
0,electric_hob,PRT_1,cooking,twh,2.3599808252320114
0,electric_hob,PRT_1,electricity,twh,
0,electric_hob,PRT_2,cooking,twh,2.5806320435634884
0,electric_hob,PRT_2,electricity,twh,
0,electrolysis,PRT_1,electricity,twh,
0,electrolysis,PRT_1,hydrogen,twh,2.139552300357152
0,electrolysis,PRT_2,electricity,twh,
0,electrolysis,PRT_2,hydrogen,twh,31.73771590899885
0,existing_pv,PRT-10_1,electricity,twh,0.2954303783250729
0,existing_pv,PRT-12_1,electricity,twh,0.1561579498103554
0,existing_pv,PRT-15_1,electricity,twh,0.2957943732768722
0,existing_pv,PRT-3_1,electricity,twh,0.7906356859147712
0,existing_pv,PRT-9_1,electricity,twh,0.16856237185481882
0,existing_wind,PRT-10_1,electricity,twh,0.36129984623105427
0,existing_wind,PRT-11_1,electricity,twh,1.6474977952196581
0,existing_wind,PRT-12_1,electricity,twh,0.4126216414464938
