,spores,techs,locs,carriers,unit,flow_out_sum
0,0,battery,PRT_1,electricity,twh,0.0005256314961475
1,0,battery,PRT_2,electricity,twh,0.0005751260460233
2,0,biofuel_boiler,PRT_1,heat,twh,8.969823699804301
3,0,biofuel_boiler,PRT_2,heat,twh,0.0003869065336186
4,0,biofuel_supply,PRT_1,biofuel,twh,20.39066515251896
5,0,biofuel_supply,PRT_2,biofuel,twh,16.111787736830337
6,0,biofuel_to_diesel,PRT_1,diesel,twh,1.075645077726108
7,0,biofuel_to_diesel,PRT_2,diesel,twh,1.014019571139595
10,0,biofuel_to_methane,PRT_1,methane,twh,4.349878396739345
11,0,biofuel_to_methane,PRT_2,methane,twh,3.476858228398764
12,0,biofuel_to_methanol,PRT_1,methanol,twh,0.7610353957399056
13,0,biofuel_to_methanol,PRT_2,methanol,twh,6.145143450351643
14,0,ccgt,PRT_1,electricity,twh,2.014459333359496e-05
15,0,ccgt,PRT_2,electricity,twh,1.3881400346505443e-05
16,0,chp_biofuel_extraction,PRT_1,electricity,twh,0.00023063178645394252
17,0,chp_biofuel_extraction,PRT_2,electricity,twh,0.00019620656516253628
18,0,chp_hydrogen,PRT_1,electricity,twh,0.00015740725786161886
19,0,chp_hydrogen,PRT_2,electricity,twh,0.00013777696369551747
20,0,chp_methane_extraction,PRT_1,electricity,twh,7.742545274723361e-05
21,0,chp_methane_extraction,PRT_2,electricity,twh,5.6268777372518446e-05
22,0,chp_wte_back_pressure,PRT_1,electricity,twh,0.22312219222504795
23,0,chp_wte_back_pressure,PRT_2,electricity,twh,0.21836730702953597
26,0,el_import,ESP,electricity,twh,6.454952493619018
31,0,electrolysis,PRT_1,hydrogen,twh,0.0032172422337836
32,0,electrolysis,PRT_2,hydrogen,twh,29.253276526946784
33,0,existing_pv,PRT_1,electricity,twh,1.772374350813805
34,0,existing_wind,PRT_1,electricity,twh,16.28370002252275
38,0,heat_storage_big,PRT_1,heat,twh,0.0053514181236158
39,0,heat_storage_big,PRT_2,heat,twh,0.0057282797610336
40,0,heat_storage_small,PRT_1,heat,twh,0.0900270613093023
41,0,heat_storage_small,PRT_2,heat,twh,0.0870533151382549
48,0,hydro_reservoir,PRT_1,electricity,twh,2.1573928478847084
49,0,hydro_reservoir,PRT_2,electricity,twh,0.3939407932945773
50,0,hydro_run_of_river,PRT_1,electricity,twh,2.519490705965859
51,0,hydro_run_of_river,PRT_2,electricity,twh,0.3767762103658962
64,0,methane_boiler,PRT_1,heat,twh,0.0002184165298601
65,0,methane_boiler,PRT_2,heat,twh,0.0001295780503816
66,0,methane_storage,PRT_1,methane,twh,5.785354288002148
67,0,methane_storage,PRT_2,methane,twh,5.8615922578074
68,0,open_field_pv,PRT_1,electricity,twh,97.8034809139052
69,0,pumped_hydro,PRT_1,electricity,twh,7.851489989176382
70,0,pumped_hydro,PRT_2,electricity,twh,1.3089971133567877
71,0,roof_mounted_pv,PRT_1,electricity,twh,0.0007131501408061873
72,0,waste_supply,PRT_1,waste,twh,1.0281802480947118
73,0,waste_supply,PRT_2,waste,twh,1.0062659697225946
74,0,wind_offshore,PRT_1,electricity,twh,0.0008370106299273307
75,0,wind_onshore,PRT_1,electricity,twh,56.174682624340406
0,1,battery,PRT_1,electricity,twh,0.725271330203098
1,1,battery,PRT_2,electricity,twh,0.6878155883430442
2,1,biofuel_boiler,PRT_1,heat,twh,0.0006221291585301
3,1,biofuel_boiler,PRT_2,heat,twh,0.000689748940665
4,1,biofuel_supply,PRT_1,biofuel,twh,2.9004790864241627
5,1,biofuel_supply,PRT_2,biofuel,twh,1.771843213141976
6,1,biofuel_to_diesel,PRT_1,diesel,twh,1.0749642690807997
7,1,biofuel_to_diesel,PRT_2,diesel,twh,1.013331448733417
10,1,biofuel_to_methane,PRT_1,methane,twh,0.0005289081918024
11,1,biofuel_to_methane,PRT_2,methane,twh,0.0005636123309406
12,1,biofuel_to_methanol,PRT_1,methanol,twh,0.7187715379201285
13,1,biofuel_to_methanol,PRT_2,methanol,twh,0.0519390146690328
14,1,ccgt,PRT_1,electricity,twh,0.0001019393813396
15,1,ccgt,PRT_2,electricity,twh,9.605682196381167e-05
16,1,chp_biofuel_extraction,PRT_1,electricity,twh,0.0009418125862692
17,1,chp_biofuel_extraction,PRT_2,electricity,twh,0.0009944241030672
18,1,chp_hydrogen,PRT_1,electricity,twh,0.0006012838802672
19,1,chp_hydrogen,PRT_2,electricity,twh,0.0006125156035895
20,1,chp_methane_extraction,PRT_1,electricity,twh,0.0004363367021968
21,1,chp_methane_extraction,PRT_2,electricity,twh,0.00043346056302859997
22,1,chp_wte_back_pressure,PRT_1,electricity,twh,0.2232240912922181
23,1,chp_wte_back_pressure,PRT_2,electricity,twh,0.21847498264883455
26,1,el_import,ESP,electricity,twh,11.612678404225692
31,1,electrolysis,PRT_1,hydrogen,twh,45.75653741962507
32,1,electrolysis,PRT_2,hydrogen,twh,0.0003459133282857
33,1,existing_pv,PRT_1,electricity,twh,1.7593703082968757
34,1,existing_wind,PRT_1,electricity,twh,16.096485165312014
38,1,heat_storage_big,PRT_1,heat,twh,0.0187366870110984
39,1,heat_storage_big,PRT_2,heat,twh,0.0245849798981131
40,1,heat_storage_small,PRT_1,heat,twh,24.21399394048954
41,1,heat_storage_small,PRT_2,heat,twh,1.1966578745526086
48,1,hydro_reservoir,PRT_1,electricity,twh,2.159077623156326
49,1,hydro_reservoir,PRT_2,electricity,twh,0.3940785974214926
50,1,hydro_run_of_river,PRT_1,electricity,twh,2.261485451313285
51,1,hydro_run_of_river,PRT_2,electricity,twh,0.3313228659952011
64,1,methane_boiler,PRT_1,heat,twh,0.0003352765057659
65,1,methane_boiler,PRT_2,heat,twh,0.0003656667616087
66,1,methane_storage,PRT_1,methane,twh,5.646671483597055
67,1,methane_storage,PRT_2,methane,twh,5.738339454710824
68,1,open_field_pv,PRT_1,electricity,twh,71.40727216910676
69,1,pumped_hydro,PRT_1,electricity,twh,6.4838959542473615
70,1,pumped_hydro,PRT_2,electricity,twh,0.90187855439604
71,1,roof_mounted_pv,PRT_1,electricity,twh,0.004010077731998771
72,1,waste_supply,PRT_1,waste,twh,1.02834340170035
73,1,waste_supply,PRT_2,waste,twh,1.0064291233276004
74,1,wind_offshore,PRT_1,electricity,twh,0.00464423421149183
75,1,wind_onshore,PRT_1,electricity,twh,75.550485405703
0,2,battery,PRT_1,electricity,twh,0.002717145247327
1,2,battery,PRT_2,electricity,twh,0.0048429196274845
2,2,biofuel_boiler,PRT_1,heat,twh,0.0190440535214042
3,2,biofuel_boiler,PRT_2,heat,twh,0.0020092705662061
4,2,biofuel_supply,PRT_1,biofuel,twh,15.45423847595681
5,2,biofuel_supply,PRT_2,biofuel,twh,16.120208793188333
6,2,biofuel_to_diesel,PRT_1,diesel,twh,0.0019730717337739
7,2,biofuel_to_diesel,PRT_2,diesel,twh,1.0116746638864471
10,2,biofuel_to_methane,PRT_1,methane,twh,4.350719252726723
11,2,biofuel_to_methane,PRT_2,methane,twh,3.4822868131146385
12,2,biofuel_to_methanol,PRT_1,methanol,twh,0.7616254603997447
13,2,biofuel_to_methanol,PRT_2,methanol,twh,6.144228827811422
14,2,ccgt,PRT_1,electricity,twh,0.0004468921405427
15,2,ccgt,PRT_2,electricity,twh,0.0017387901685674
16,2,chp_biofuel_extraction,PRT_1,electricity,twh,0.005551003212465501
17,2,chp_biofuel_extraction,PRT_2,electricity,twh,0.0032628148351179
18,2,chp_hydrogen,PRT_1,electricity,twh,0.0012014571434002998
19,2,chp_hydrogen,PRT_2,electricity,twh,0.0014597953231663
20,2,chp_methane_extraction,PRT_1,electricity,twh,0.0017555376681662998
21,2,chp_methane_extraction,PRT_2,electricity,twh,0.0012901478540286
22,2,chp_wte_back_pressure,PRT_1,electricity,twh,0.2234321462736106
23,2,chp_wte_back_pressure,PRT_2,electricity,twh,0.2187019286093929
26,2,el_import,ESP,electricity,twh,21.566956494682472
31,2,electrolysis,PRT_1,hydrogen,twh,0.0070449697254914
32,2,electrolysis,PRT_2,hydrogen,twh,27.479847776122025
33,2,existing_pv,PRT_1,electricity,twh,1.7718922866729279
34,2,existing_wind,PRT_1,electricity,twh,16.24771674994436
38,2,heat_storage_big,PRT_1,heat,twh,0.0463402013833867
39,2,heat_storage_big,PRT_2,heat,twh,0.0621464940622289
40,2,heat_storage_small,PRT_1,heat,twh,0.3456074176525164
41,2,heat_storage_small,PRT_2,heat,twh,29.33301589082884
48,2,hydro_reservoir,PRT_1,electricity,twh,2.163086249954603
49,2,hydro_reservoir,PRT_2,electricity,twh,0.3944686156969194
50,2,hydro_run_of_river,PRT_1,electricity,twh,2.6806883343582504
51,2,hydro_run_of_river,PRT_2,electricity,twh,0.3652396277696657
64,2,methane_boiler,PRT_1,heat,twh,0.0020580897477119
65,2,methane_boiler,PRT_2,heat,twh,0.0006445986554662
66,2,methane_storage,PRT_1,methane,twh,5.643173210510867
67,2,methane_storage,PRT_2,methane,twh,5.838936941682633
68,2,open_field_pv,PRT_1,electricity,twh,3.8770413151331753
69,2,pumped_hydro,PRT_1,electricity,twh,3.865453606716496
70,2,pumped_hydro,PRT_2,electricity,twh,0.457762020430567
71,2,roof_mounted_pv,PRT_1,electricity,twh,0.008222550527807019
72,2,waste_supply,PRT_1,waste,twh,1.0287053195494165
73,2,waste_supply,PRT_2,waste,twh,1.0067910411776078
74,2,wind_offshore,PRT_1,electricity,twh,0.0119137369375214
75,2,wind_onshore,PRT_1,electricity,twh,99.73091421299219
0,3,battery,PRT_1,electricity,twh,0.0010849084943841
1,3,battery,PRT_2,electricity,twh,0.0018788611302295
2,3,biofuel_boiler,PRT_1,heat,twh,0.0275040000982014
3,3,biofuel_boiler,PRT_2,heat,twh,0.0005579704685923
4,3,biofuel_supply,PRT_1,biofuel,twh,15.618167533105272
5,3,biofuel_supply,PRT_2,biofuel,twh,16.1125863058338
6,3,biofuel_to_diesel,PRT_1,diesel,twh,0.00039916279272
7,3,biofuel_to_diesel,PRT_2,diesel,twh,1.0138796887671062
10,3,biofuel_to_methane,PRT_1,methane,twh,4.352249499486406
11,3,biofuel_to_methane,PRT_2,methane,twh,3.4775321632427447
12,3,biofuel_to_methanol,PRT_1,methanol,twh,0.7609982705305998
13,3,biofuel_to_methanol,PRT_2,methanol,twh,6.144259398966412
14,3,ccgt,PRT_1,electricity,twh,0.0001776811349561
15,3,ccgt,PRT_2,electricity,twh,0.0115110437660885
16,3,chp_biofuel_extraction,PRT_1,electricity,twh,0.0029256610893584
17,3,chp_biofuel_extraction,PRT_2,electricity,twh,0.0010978873884557
18,3,chp_hydrogen,PRT_1,electricity,twh,0.0004710238107476
19,3,chp_hydrogen,PRT_2,electricity,twh,0.0005068769091932
20,3,chp_methane_extraction,PRT_1,electricity,twh,0.0006332792341262
21,3,chp_methane_extraction,PRT_2,electricity,twh,0.0002561563095806
22,3,chp_wte_back_pressure,PRT_1,electricity,twh,0.22319030063074044
23,3,chp_wte_back_pressure,PRT_2,electricity,twh,0.21844048192967064
26,3,el_import,ESP,electricity,twh,20.89296391370815
31,3,electrolysis,PRT_1,hydrogen,twh,27.47408534853304
32,3,electrolysis,PRT_2,hydrogen,twh,0.0081141082206981
33,3,existing_pv,PRT_1,electricity,twh,1.7711967214245308
34,3,existing_wind,PRT_1,electricity,twh,16.259508664997405
38,3,heat_storage_big,PRT_1,heat,twh,0.0218607782278217
39,3,heat_storage_big,PRT_2,heat,twh,0.0302820574260866
40,3,heat_storage_small,PRT_1,heat,twh,0.3223884819282373
41,3,heat_storage_small,PRT_2,heat,twh,23.15714388862512
48,3,hydro_reservoir,PRT_1,electricity,twh,2.1578515136335006
49,3,hydro_reservoir,PRT_2,electricity,twh,0.3939318006696758
50,3,hydro_run_of_river,PRT_1,electricity,twh,2.6774559121111627
51,3,hydro_run_of_river,PRT_2,electricity,twh,0.35376657708331
64,3,methane_boiler,PRT_1,heat,twh,0.0017924435163734
65,3,methane_boiler,PRT_2,heat,twh,0.000203580104464
66,3,methane_storage,PRT_1,methane,twh,5.642271212955029
67,3,methane_storage,PRT_2,methane,twh,5.64181572707734
68,3,open_field_pv,PRT_1,electricity,twh,18.77441840181234
69,3,pumped_hydro,PRT_1,electricity,twh,3.043637524613391
70,3,pumped_hydro,PRT_2,electricity,twh,0.3925797719715992
71,3,roof_mounted_pv,PRT_1,electricity,twh,0.002151187153307777
72,3,waste_supply,PRT_1,waste,twh,1.0282371946072315
73,3,waste_supply,PRT_2,waste,twh,1.00632291623496
74,3,wind_offshore,PRT_1,electricity,twh,0.005300782906785751
75,3,wind_onshore,PRT_1,electricity,twh,85.15201386225277
0,4,battery,PRT_1,electricity,twh,0.0028841715520803
1,4,battery,PRT_2,electricity,twh,0.003569746311045
2,4,biofuel_boiler,PRT_1,heat,twh,0.0380396109925184
3,4,biofuel_boiler,PRT_2,heat,twh,0.0012317053244518
4,4,biofuel_supply,PRT_1,biofuel,twh,15.484415981311423
5,4,biofuel_supply,PRT_2,biofuel,twh,16.115530662299115
6,4,biofuel_to_diesel,PRT_1,diesel,twh,0.0015242880106599
7,4,biofuel_to_diesel,PRT_2,diesel,twh,1.0138646365409525
10,4,biofuel_to_methane,PRT_1,methane,twh,4.352806037317915
