,spores,techs,locs,carriers,unit,flow_out_sum
0,0,battery,PRT_1,electricity,twh,0.0005256314961475
1,0,battery,PRT_2,electricity,twh,0.0005751260460233
3,0,biofuel_boiler,PRT_1,heat,twh,8.969823699804301
5,0,biofuel_boiler,PRT_2,heat,twh,0.0003869065336186
6,0,biofuel_supply,PRT_1,biofuel,twh,20.39066515251896
7,0,biofuel_supply,PRT_2,biofuel,twh,16.111787736830337
9,0,biofuel_to_diesel,PRT_1,diesel,twh,1.075645077726108
11,0,biofuel_to_diesel,PRT_2,diesel,twh,1.014019571139595
21,0,biofuel_to_methane,PRT_1,methane,twh,4.349878396739345
23,0,biofuel_to_methane,PRT_2,methane,twh,3.476858228398764
25,0,biofuel_to_methanol,PRT_1,methanol,twh,0.7610353957399056
27,0,biofuel_to_methanol,PRT_2,methanol,twh,6.145143450351643
28,0,ccgt,PRT_1,electricity,twh,2.014459333359496e-05
30,0,ccgt,PRT_2,electricity,twh,1.3881400346505443e-05
33,0,chp_biofuel_extraction,PRT_1,electricity,twh,8.586897253694251e-05
34,0,chp_biofuel_extraction,PRT_1,heat,twh,0.000144762813917
36,0,chp_biofuel_extraction,PRT_2,electricity,twh,6.967805661823627e-05
37,0,chp_biofuel_extraction,PRT_2,heat,twh,0.0001265285085443
38,0,chp_hydrogen,PRT_1,electricity,twh,9.640519319560076e-05
39,0,chp_hydrogen,PRT_1,heat,twh,6.100206466601811e-05
41,0,chp_hydrogen,PRT_2,electricity,twh,8.520366999973593e-05
42,0,chp_hydrogen,PRT_2,heat,twh,5.2573293695781534e-05
44,0,chp_methane_extraction,PRT_1,electricity,twh,5.8922120918414126e-05
45,0,chp_methane_extraction,PRT_1,heat,twh,1.8503331828819483e-05
47,0,chp_methane_extraction,PRT_2,electricity,twh,4.263743026537456e-05
48,0,chp_methane_extraction,PRT_2,heat,twh,1.363134710714388e-05
50,0,chp_wte_back_pressure,PRT_1,electricity,twh,0.2231151138365524
51,0,chp_wte_back_pressure,PRT_1,heat,twh,7.078388495556362e-06
53,0,chp_wte_back_pressure,PRT_2,electricity,twh,0.218359715429803
54,0,chp_wte_back_pressure,PRT_2,heat,twh,7.591599732968472e-06
79,0,el_import,ESP,electricity,twh,6.454952493619018
89,0,electrolysis,PRT_1,hydrogen,twh,0.0032172422337836
91,0,electrolysis,PRT_2,hydrogen,twh,29.253276526946784
92,0,existing_pv,PRT_10_1,electricity,twh,0.3110112000922836
93,0,existing_pv,PRT_12_1,electricity,twh,0.1604907143469004
94,0,existing_pv,PRT_15_1,electricity,twh,0.3099458467631529
95,0,existing_pv,PRT_3_1,electricity,twh,0.8172179151759248
96,0,existing_pv,PRT_9_1,electricity,twh,0.1737086744355432
97,0,existing_wind,PRT_10_1,electricity,twh,0.3503373345550662
98,0,existing_wind,PRT_11_1,electricity,twh,1.4759598925706432
99,0,existing_wind,PRT_12_1,electricity,twh,0.3707906215308352
100,0,existing_wind,PRT_15_1,electricity,twh,0.3366565456530771
101,0,existing_wind,PRT_16_1,electricity,twh,0.1000280457168677
102,0,existing_wind,PRT_17_1,electricity,twh,0.2945554920654007
103,0,existing_wind,PRT_18_1,electricity,twh,2.4596731366179614
104,0,existing_wind,PRT_19_1,electricity,twh,2.0272602441186245
105,0,existing_wind,PRT_1_1,electricity,twh,3.6476967021947537e-07
106,0,existing_wind,PRT_20_1,electricity,twh,2.3539534962425144
107,0,existing_wind,PRT_3_1,electricity,twh,0.5114189827912448
108,0,existing_wind,PRT_4_1,electricity,twh,1.0197819370607395
109,0,existing_wind,PRT_5_1,electricity,twh,0.5008554437339012
110,0,existing_wind,PRT_6_1,electricity,twh,2.1221731303326514
111,0,existing_wind,PRT_7_1,electricity,twh,1.438099146256956
112,0,existing_wind,PRT_9_1,electricity,twh,0.9221562085065992
119,0,heat_storage_big,PRT_1,heat,twh,0.0053514181236158
120,0,heat_storage_big,PRT_2,heat,twh,0.0057282797610336
121,0,heat_storage_small,PRT_1,heat,twh,0.0900270613093023
122,0,heat_storage_small,PRT_2,heat,twh,0.0870533151382549
135,0,hydro_reservoir,PRT_1,electricity,twh,2.1573928478847084
136,0,hydro_reservoir,PRT_2,electricity,twh,0.3939407932945773
137,0,hydro_run_of_river,PRT_1,electricity,twh,2.519490705965859
138,0,hydro_run_of_river,PRT_2,electricity,twh,0.3767762103658962
171,0,methane_boiler,PRT_1,heat,twh,0.0002184165298601
173,0,methane_boiler,PRT_2,heat,twh,0.0001295780503816
175,0,methane_storage,PRT_1,methane,twh,5.785354288002148
176,0,methane_storage,PRT_2,methane,twh,5.8615922578074
177,0,open_field_pv,PRT_10_1,electricity,twh,0.0029369092732455
178,0,open_field_pv,PRT_11_1,electricity,twh,17.37397853715275
179,0,open_field_pv,PRT_12_1,electricity,twh,0.0006271443868033
180,0,open_field_pv,PRT_14_1,electricity,twh,0.0007302584761483
181,0,open_field_pv,PRT_15_1,electricity,twh,0.0014263629834652
182,0,open_field_pv,PRT_16_1,electricity,twh,0.000608558261974
183,0,open_field_pv,PRT_17_1,electricity,twh,0.0008126922832661
184,0,open_field_pv,PRT_18_1,electricity,twh,0.0003957977368629
185,0,open_field_pv,PRT_19_1,electricity,twh,0.0009961036418456
186,0,open_field_pv,PRT_20_1,electricity,twh,0.0012477329906156
187,0,open_field_pv,PRT_3_1,electricity,twh,0.0012491723934173
188,0,open_field_pv,PRT_4_1,electricity,twh,0.000457780253125
189,0,open_field_pv,PRT_5_1,electricity,twh,0.0016011435772975
190,0,open_field_pv,PRT_6_1,electricity,twh,40.96662187508712
191,0,open_field_pv,PRT_7_1,electricity,twh,0.001569367276178
192,0,open_field_pv,PRT_8_1,electricity,twh,0.0008581929821142
193,0,open_field_pv,PRT_9_1,electricity,twh,39.447363285148974
194,0,pumped_hydro,PRT_1,electricity,twh,7.851489989176382
195,0,pumped_hydro,PRT_2,electricity,twh,1.3089971133567877
196,0,roof_mounted_pv,PRT_10_1,electricity,twh,4.259416557747609e-05
197,0,roof_mounted_pv,PRT_11_1,electricity,twh,4.361048576215919e-05
198,0,roof_mounted_pv,PRT_12_1,electricity,twh,4.5133034279152125e-05
199,0,roof_mounted_pv,PRT_14_1,electricity,twh,3.350721774022264e-05
200,0,roof_mounted_pv,PRT_15_1,electricity,twh,4.8664724625864175e-05
201,0,roof_mounted_pv,PRT_16_1,electricity,twh,3.7939388346501045e-05
202,0,roof_mounted_pv,PRT_17_1,electricity,twh,4.057502142381442e-05
203,0,roof_mounted_pv,PRT_18_1,electricity,twh,3.729936850702161e-05
204,0,roof_mounted_pv,PRT_19_1,electricity,twh,4.4258580260870605e-05
205,0,roof_mounted_pv,PRT_1_1,electricity,twh,2.984611966504546e-09
206,0,roof_mounted_pv,PRT_20_1,electricity,twh,4.062403310730279e-05
207,0,roof_mounted_pv,PRT_3_1,electricity,twh,4.362533612630097e-05
208,0,roof_mounted_pv,PRT_4_1,electricity,twh,4.1138349944589695e-05
209,0,roof_mounted_pv,PRT_5_1,electricity,twh,4.6627771174930405e-05
210,0,roof_mounted_pv,PRT_6_1,electricity,twh,3.86723974414381e-05
211,0,roof_mounted_pv,PRT_7_1,electricity,twh,4.1920972133481073e-05
212,0,roof_mounted_pv,PRT_8_1,electricity,twh,4.255277903422075e-05
213,0,roof_mounted_pv,PRT_9_1,electricity,twh,4.440353070887512e-05
214,0,waste_supply,PRT_1,waste,twh,1.0281802480947118
215,0,waste_supply,PRT_2,waste,twh,1.0062659697225946
216,0,wind_offshore,PRT_11_1,electricity,twh,8.822507017230029e-05
217,0,wind_offshore,PRT_12_1,electricity,twh,0.0001031150804588
218,0,wind_offshore,PRT_15_1,electricity,twh,6.270854968623828e-05
219,0,wind_offshore,PRT_16_1,electricity,twh,7.403617992224359e-05
220,0,wind_offshore,PRT_17_1,electricity,twh,8.485361402917151e-05
221,0,wind_offshore,PRT_18_1,electricity,twh,6.663842684947671e-05
222,0,wind_offshore,PRT_1_1,electricity,twh,3.372400206299344e-07
223,0,wind_offshore,PRT_20_1,electricity,twh,2.377128106193383e-05
224,0,wind_offshore,PRT_3_1,electricity,twh,8.402683214455602e-05
225,0,wind_offshore,PRT_4_1,electricity,twh,6.320903202748667e-05
226,0,wind_offshore,PRT_7_1,electricity,twh,6.714076852269385e-05
227,0,wind_offshore,PRT_9_1,electricity,twh,0.0001189485550318
228,0,wind_onshore,PRT_10_1,electricity,twh,0.0009953688742242
229,0,wind_onshore,PRT_11_1,electricity,twh,0.0012318112251628
230,0,wind_onshore,PRT_12_1,electricity,twh,0.0018403467301539
231,0,wind_onshore,PRT_14_1,electricity,twh,0.0017118014962592
232,0,wind_onshore,PRT_15_1,electricity,twh,0.0003226440553903
233,0,wind_onshore,PRT_16_1,electricity,twh,0.0013833209510181
234,0,wind_onshore,PRT_17_1,electricity,twh,0.0020602313982547
235,0,wind_onshore,PRT_18_1,electricity,twh,0.0005955911769345
236,0,wind_onshore,PRT_19_1,electricity,twh,0.0004548322104225
237,0,wind_onshore,PRT_1_1,electricity,twh,7.443503981081975e-07
238,0,wind_onshore,PRT_20_1,electricity,twh,0.0005423746247082
239,0,wind_onshore,PRT_3_1,electricity,twh,0.0026258885113971
240,0,wind_onshore,PRT_4_1,electricity,twh,0.0005022735065846
241,0,wind_onshore,PRT_5_1,electricity,twh,0.0005600597588405
242,0,wind_onshore,PRT_6_1,electricity,twh,0.0011490943149873
243,0,wind_onshore,PRT_7_1,electricity,twh,0.000612100104942
244,0,wind_onshore,PRT_8_1,electricity,twh,0.0018422464202072
245,0,wind_onshore,PRT_9_1,electricity,twh,56.15625189463052
246,1,battery,PRT_1,electricity,twh,0.725271330203098
247,1,battery,PRT_2,electricity,twh,0.6878155883430442
249,1,biofuel_boiler,PRT_1,heat,twh,0.0006221291585301
251,1,biofuel_boiler,PRT_2,heat,twh,0.000689748940665
252,1,biofuel_supply,PRT_1,biofuel,twh,2.9004790864241627
253,1,biofuel_supply,PRT_2,biofuel,twh,1.771843213141976
255,1,biofuel_to_diesel,PRT_1,diesel,twh,1.0749642690807997
257,1,biofuel_to_diesel,PRT_2,diesel,twh,1.013331448733417
267,1,biofuel_to_methane,PRT_1,methane,twh,0.0005289081918024
269,1,biofuel_to_methane,PRT_2,methane,twh,0.0005636123309406
271,1,biofuel_to_methanol,PRT_1,methanol,twh,0.7187715379201285
273,1,biofuel_to_methanol,PRT_2,methanol,twh,0.0519390146690328
274,1,ccgt,PRT_1,electricity,twh,0.0001019393813396
276,1,ccgt,PRT_2,electricity,twh,9.605682196381167e-05
279,1,chp_biofuel_extraction,PRT_1,electricity,twh,0.000318396587974
280,1,chp_biofuel_extraction,PRT_1,heat,twh,0.0006234159982952
282,1,chp_biofuel_extraction,PRT_2,electricity,twh,0.0003279816537367
283,1,chp_biofuel_extraction,PRT_2,heat,twh,0.0006664424493305
284,1,chp_hydrogen,PRT_1,electricity,twh,0.0003091900258837
285,1,chp_hydrogen,PRT_1,heat,twh,0.0002920938543835
287,1,chp_hydrogen,PRT_2,electricity,twh,0.0003128797484915
288,1,chp_hydrogen,PRT_2,heat,twh,0.000299635855098
290,1,chp_methane_extraction,PRT_1,electricity,twh,0.0001305567183657
291,1,chp_methane_extraction,PRT_1,heat,twh,0.0003057799838311
293,1,chp_methane_extraction,PRT_2,electricity,twh,0.0001222127827608
294,1,chp_methane_extraction,PRT_2,heat,twh,0.0003112477802678
296,1,chp_wte_back_pressure,PRT_1,electricity,twh,0.2231505181689759
297,1,chp_wte_back_pressure,PRT_1,heat,twh,7.357312324218142e-05
299,1,chp_wte_back_pressure,PRT_2,electricity,twh,0.2183951197620893
300,1,chp_wte_back_pressure,PRT_2,heat,twh,7.986288674525362e-05
325,1,el_import,ESP,electricity,twh,11.612678404225692
335,1,electrolysis,PRT_1,hydrogen,twh,45.75653741962507
337,1,electrolysis,PRT_2,hydrogen,twh,0.0003459133282857
338,1,existing_pv,PRT_10_1,electricity,twh,0.3088911113244627
339,1,existing_pv,PRT_12_1,electricity,twh,0.1575950571167478
340,1,existing_pv,PRT_15_1,electricity,twh,0.3080399655595987
341,1,existing_pv,PRT_3_1,electricity,twh,0.8143626371889456
342,1,existing_pv,PRT_9_1,electricity,twh,0.1704815371071208
343,1,existing_wind,PRT_10_1,electricity,twh,0.3466824557423658
344,1,existing_wind,PRT_11_1,electricity,twh,1.4738023492973729
345,1,existing_wind,PRT_12_1,electricity,twh,0.3439913722486822
346,1,existing_wind,PRT_15_1,electricity,twh,0.3260046241968011
347,1,existing_wind,PRT_16_1,electricity,twh,0.0813909873525355
348,1,existing_wind,PRT_17_1,electricity,twh,0.2846379703973504
349,1,existing_wind,PRT_18_1,electricity,twh,2.457644463924295
350,1,existing_wind,PRT_19_1,electricity,twh,2.0252854346998816
351,1,existing_wind,PRT_1_1,electricity,twh,0.0001141691719025
352,1,existing_wind,PRT_20_1,electricity,twh,2.3519380810491746
353,1,existing_wind,PRT_3_1,electricity,twh,0.4768194007212322
354,1,existing_wind,PRT_4_1,electricity,twh,1.0175999908699846
355,1,existing_wind,PRT_5_1,electricity,twh,0.4976782420946681
356,1,existing_wind,PRT_6_1,electricity,twh,2.105229167097301
357,1,existing_wind,PRT_7_1,electricity,twh,1.4364574222099245
