scenarios,locs,techs,carriers,units,flow_out_sum
0,PRT_1,battery,electricity,kilogram,2186627.0239736
0,PRT_2,battery,electricity,kilogram,2392524.351456928
0,PRT_1,biofuel_boiler,heat,megajoule,32291365319.295486
0,PRT_2,biofuel_boiler,heat,megajoule,1392863.52102696
0,PRT_1,biofuel_supply,biofuel,kilogram,2324535827.3871613
0,PRT_2,biofuel_supply,biofuel,kilogram,1836743801.9986584
0,PRT_1,biofuel_to_diesel,diesel,kilogram,143060795.33757237
0,PRT_2,biofuel_to_diesel,diesel,kilogram,134864602.96156612
0,PRT_1,biofuel_to_methane,methane,cubic meter,102657130.16304854
0,PRT_2,biofuel_to_methane,methane,cubic meter,82053854.19021083
0,PRT_1,biofuel_to_methanol,methanol,kilogram,121004627.922645
0,PRT_2,biofuel_to_methanol,methanol,kilogram,977077808.6059113
0,PRT_1,ccgt,electricity,kilowatt hour,20144.59333359496
0,PRT_2,ccgt,electricity,kilowatt hour,13881.400346505443
0,PRT_1,chp_biofuel_extraction,electricity,kilowatt hour,230631.7864539
0,PRT_2,chp_biofuel_extraction,electricity,kilowatt hour,196206.56516250002
0,PRT_1,chp_hydrogen,electricity,kilowatt hour,157407.2578616
0,PRT_2,chp_hydrogen,electricity,kilowatt hour,137776.9636955
0,PRT_1,chp_methane_extraction,electricity,kilowatt hour,77425.4527472336
0,PRT_2,chp_methane_extraction,electricity,kilowatt hour,56268.777372518445
0,PRT_1,chp_wte_back_pressure,electricity,kilowatt hour,223122192.2250479
0,PRT_2,chp_wte_back_pressure,electricity,kilowatt hour,218367307.02953592
0,ESP,el_import,electricity,kilowatt hour,6454952493.619019
0,PRT_1,electrolysis,hydrogen,kg,966352.6966760716
0,PRT_2,electrolysis,hydrogen,kg,8786712533.355143
0,PRT_1,existing_pv,electricity,kilowatt hour,1772374350.813805
0,PRT_1,existing_wind,electricity,kilowatt hour,16283700022.52275
0,PRT_1,heat_storage_big,heat,unit,32750.678916528697
0,PRT_2,heat_storage_big,heat,unit,35057.07213752563
0,PRT_1,heat_storage_small,heat,unit,1836552.0507097668
0,PRT_2,heat_storage_small,heat,unit,1775887.6288204
0,PRT_1,hydro_reservoir,electricity,kilowatt hour,2157392847.8847084
0,PRT_2,hydro_reservoir,electricity,kilowatt hour,393940793.2945773
0,PRT_1,hydro_run_of_river,electricity,kilowatt hour,2519490705.965859
0,PRT_2,hydro_run_of_river,electricity,kilowatt hour,376776210.3658962
0,PRT_1,methane_boiler,heat,megajoule,786299.50749636
0,PRT_2,methane_boiler,heat,megajoule,466480.98137376
0,PRT_1,methane_storage,methane,unit,2892.6771440010743
0,PRT_2,methane_storage,methane,unit,2930.7961289037003
0,PRT_1,open_field_pv,electricity,kilowatt hour,97803480913.9052
0,PRT_1,pumped_hydro,electricity,kilowatt hour,7851489989.176382
0,PRT_2,pumped_hydro,electricity,kilowatt hour,1308997113.3567877
0,PRT_1,roof_mounted_pv,electricity,kilowatt hour,713150.1408061
0,PRT_1,waste_supply,waste,kilowatt hour,1028180248.0947118
0,PRT_2,waste_supply,waste,kilowatt hour,1006265969.7225946
0,PRT_1,wind_offshore,electricity,kilowatt hour,837010.6299273
0,PRT_1,wind_onshore,electricity,kilowatt hour,56174682624.34041
1,PRT_1,battery,electricity,kilogram,3017128733.6448874
1,PRT_2,battery,electricity,kilogram,2861312847.507064
1,PRT_1,biofuel_boiler,heat,megajoule,2239664.97070836
1,PRT_2,biofuel_boiler,heat,megajoule,2483096.186394
1,PRT_1,biofuel_supply,biofuel,kilogram,330654615.8523545
1,PRT_2,biofuel_supply,biofuel,kilogram,201990126.29818526
1,PRT_1,biofuel_to_diesel,diesel,kilogram,142970247.78774637
