scenarios,locs,techs,carriers,units,flow_out_sum
0,PRT_1,battery,electricity,kilogram,2186627.0239736
0,PRT_2,battery,electricity,kilogram,2392524.351456928
0,PRT_1,biofuel_boiler,heat,megajoule,32291365319.295486
0,PRT_2,biofuel_boiler,heat,megajoule,1392863.52102696
0,PRT_1,biofuel_supply,biofuel,kilogram,2324535827.3871613
0,PRT_2,biofuel_supply,biofuel,kilogram,1836743801.9986584
0,PRT_1,biofuel_to_diesel,diesel,kilogram,143060795.33757237
0,PRT_2,biofuel_to_diesel,diesel,kilogram,134864602.96156612
0,PRT_1,biofuel_to_methane,methane,cubic meter,102657130.16304854
0,PRT_2,biofuel_to_methane,methane,cubic meter,82053854.19021083
0,PRT_1,biofuel_to_methanol,methanol,kilogram,121004627.922645
0,PRT_2,biofuel_to_methanol,methanol,kilogram,977077808.6059113
0,PRT_1,ccgt,electricity,kilowatt hour,20144.59333359496
0,PRT_2,ccgt,electricity,kilowatt hour,13881.400346505443
0,PRT_1,chp_biofuel_extraction,electricity,kilowatt hour,85868.97253694251
0,PRT_1,chp_biofuel_extraction,heat,megajoule,521146.1301012
0,PRT_2,chp_biofuel_extraction,electricity,kilowatt hour,69678.05661823627
0,PRT_2,chp_biofuel_extraction,heat,megajoule,455502.63075948
0,PRT_1,chp_hydrogen,electricity,kilowatt hour,96405.19319560076
0,PRT_2,chp_hydrogen,electricity,kilowatt hour,85203.66999973592
0,PRT_1,chp_methane_extraction,electricity,kilowatt hour,58922.120918414126
0,PRT_1,chp_methane_extraction,heat,megajoule,66611.99458375014
0,PRT_2,chp_methane_extraction,electricity,kilowatt hour,42637.43026537456
0,PRT_2,chp_methane_extraction,heat,megajoule,49072.84958571797
0,PRT_1,chp_wte_back_pressure,electricity,kilowatt hour,223115113.83655238
0,PRT_1,chp_wte_back_pressure,heat,megajoule,25482.1985840029
0,PRT_2,chp_wte_back_pressure,electricity,kilowatt hour,218359715.429803
0,PRT_2,chp_wte_back_pressure,heat,megajoule,27329.759038686498
0,ESP,el_import,electricity,kilowatt hour,6454952493.619019
0,PRT_1,electrolysis,hydrogen,kg,966352.6966760716
0,PRT_2,electrolysis,hydrogen,kg,8786712533.355143
0,PRT_10_1,existing_pv,electricity,kilowatt hour,311011200.0922836
0,PRT_12_1,existing_pv,electricity,kilowatt hour,160490714.3469004
0,PRT_15_1,existing_pv,electricity,kilowatt hour,309945846.7631529
0,PRT_3_1,existing_pv,electricity,kilowatt hour,817217915.1759248
0,PRT_9_1,existing_pv,electricity,kilowatt hour,173708674.43554318
0,PRT_10_1,existing_wind,electricity,kilowatt hour,350337334.5550662
0,PRT_11_1,existing_wind,electricity,kilowatt hour,1475959892.5706432
0,PRT_12_1,existing_wind,electricity,kilowatt hour,370790621.5308352
0,PRT_15_1,existing_wind,electricity,kilowatt hour,336656545.6530771
0,PRT_16_1,existing_wind,electricity,kilowatt hour,100028045.7168677
0,PRT_17_1,existing_wind,electricity,kilowatt hour,294555492.0654007
0,PRT_18_1,existing_wind,electricity,kilowatt hour,2459673136.6179614
0,PRT_19_1,existing_wind,electricity,kilowatt hour,2027260244.1186244
0,PRT_1_1,existing_wind,electricity,kilowatt hour,364.76967021947536
0,PRT_20_1,existing_wind,electricity,kilowatt hour,2353953496.2425146
0,PRT_3_1,existing_wind,electricity,kilowatt hour,511418982.79124475
0,PRT_4_1,existing_wind,electricity,kilowatt hour,1019781937.0607395
0,PRT_5_1,existing_wind,electricity,kilowatt hour,500855443.7339012
0,PRT_6_1,existing_wind,electricity,kilowatt hour,2122173130.3326514
0,PRT_7_1,existing_wind,electricity,kilowatt hour,1438099146.2569559
0,PRT_9_1,existing_wind,electricity,kilowatt hour,922156208.5065992
