Amount,Location,Activity name,Activity_code,Reference_product,Unit,Act_to,Technosphere,Database,Unit_check
1,PT,Future market for electricity,f_test,"electricity production, 2050 in Portugal",kWh,marker,Yes,db_experiments,
1,PT,wind_onshore__electricity___PRT_3_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_8_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_6_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_14_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_5_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_4_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_18_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_12_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_1_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_11_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_7_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_17_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_20_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_15_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_10_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_16_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_19_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_onshore__electricity___PRT_9_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_offshore__electricity___PRT_15_1,46839adbc3cf15621ddbbe687eaa6df1,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_offshore__electricity___PRT_9_1,46839adbc3cf15621ddbbe687eaa6df1,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_offshore__electricity___PRT_3_1,46839adbc3cf15621ddbbe687eaa6df1,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_offshore__electricity___PRT_12_1,46839adbc3cf15621ddbbe687eaa6df1,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_offshore__electricity___PRT_18_1,46839adbc3cf15621ddbbe687eaa6df1,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_offshore__electricity___PRT_17_1,46839adbc3cf15621ddbbe687eaa6df1,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_offshore__electricity___PRT_20_1,46839adbc3cf15621ddbbe687eaa6df1,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_offshore__electricity___PRT_11_1,46839adbc3cf15621ddbbe687eaa6df1,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_offshore__electricity___PRT_7_1,46839adbc3cf15621ddbbe687eaa6df1,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_offshore__electricity___PRT_4_1,46839adbc3cf15621ddbbe687eaa6df1,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_offshore__electricity___PRT_1_1,46839adbc3cf15621ddbbe687eaa6df1,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,wind_offshore__electricity___PRT_16_1,46839adbc3cf15621ddbbe687eaa6df1,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,hydro_run_of_river__electricity___PRT_2,b870e3d3ddd5b634d016940064b27532,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,hydro_run_of_river__electricity___PRT_1,b870e3d3ddd5b634d016940064b27532,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,hydro_reservoir__electricity___PRT_1,c868c4688fbf78f5ca3787ac3d83312b,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,hydro_reservoir__electricity___PRT_2,c868c4688fbf78f5ca3787ac3d83312b,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,ccgt__electricity___PRT_1,4833b6352dfe15c95ae46fd280371cd3,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,ccgt__electricity___PRT_2,4833b6352dfe15c95ae46fd280371cd3,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,chp_biofuel_extraction__electricity___PRT_2,1952fb157a18463b0028629917057bcf,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,chp_biofuel_extraction__electricity___PRT_1,1952fb157a18463b0028629917057bcf,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_11_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_17_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_7_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_14_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_20_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_8_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_10_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_4_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_18_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_15_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_12_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_9_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_19_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_16_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_6_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_3_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,open_field_pv__electricity___PRT_5_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,chp_hydrogen__electricity___PRT_1,CHP_hydrogen_2050,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,chp_hydrogen__electricity___PRT_2,CHP_hydrogen_2050,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_10_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_9_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_17_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_16_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_6_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_5_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_1_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_12_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_20_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_19_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_11_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_15_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_4_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_7_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_18_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_wind__electricity___PRT_3_1,81174ec2c20931c1a36f65c654bbd11e,"electricity, high voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_pv__electricity___PRT_10_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_pv__electricity___PRT_3_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_pv__electricity___PRT_15_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_pv__electricity___PRT_12_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,existing_pv__electricity___PRT_9_1,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,roof_mounted_pv__electricity___PRT_12_1,1d7a3591e7a3d033a25e0eaf699bb50b,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,roof_mounted_pv__electricity___PRT_10_1,1d7a3591e7a3d033a25e0eaf699bb50b,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
1,PT,roof_mounted_pv__electricity___PRT_6_1,1d7a3591e7a3d033a25e0eaf699bb50b,"electricity, low voltage",kWh,Future market for electricity,Yes,db_experiments,kilowatt hour
