spores,techs,locs,carriers,unit,flow_out_sum
0,battery,PRT_1,electricity,twh,0.0005256314961475354
0,battery,PRT_2,electricity,twh,0.000575126046023398
0,biofuel_boiler,PRT_1,biofuel,twh,
0,biofuel_boiler,PRT_1,heat,twh,8.969823699804301
0,biofuel_boiler,PRT_2,biofuel,twh,
0,biofuel_boiler,PRT_2,heat,twh,0.000386906533618691
0,biofuel_supply,PRT_1,biofuel,twh,20.390665152518956
0,biofuel_supply,PRT_2,biofuel,twh,16.111787736830337
0,biofuel_to_diesel,PRT_1,biofuel,twh,
0,biofuel_to_diesel,PRT_1,diesel,twh,1.075645077726108
0,biofuel_to_diesel,PRT_2,biofuel,twh,
0,biofuel_to_diesel,PRT_2,diesel,twh,1.014019571139595
0,biofuel_to_liquids,PRT_1,biofuel,twh,
0,biofuel_to_liquids,PRT_1,diesel,twh,0.00010256470404811304
0,biofuel_to_liquids,PRT_1,electricity,twh,1.0282175844422359e-05
0,biofuel_to_liquids,PRT_1,kerosene,twh,5.0639716033780114e-05
0,biofuel_to_liquids,PRT_2,biofuel,twh,
0,biofuel_to_liquids,PRT_2,diesel,twh,2.1917168116042565e-05
0,biofuel_to_liquids,PRT_2,electricity,twh,2.197209836194743e-06
0,biofuel_to_liquids,PRT_2,kerosene,twh,1.082125844325911e-05
0,biofuel_to_methane,PRT_1,biofuel,twh,
0,biofuel_to_methane,PRT_1,methane,twh,4.349878396739345
0,biofuel_to_methane,PRT_2,biofuel,twh,
0,biofuel_to_methane,PRT_2,methane,twh,3.476858228398764
0,biofuel_to_methanol,PRT_1,biofuel,twh,
0,biofuel_to_methanol,PRT_1,methanol,twh,0.7610353957399056
0,biofuel_to_methanol,PRT_2,biofuel,twh,
0,biofuel_to_methanol,PRT_2,methanol,twh,6.145143450351643
0,ccgt,PRT_1,electricity,twh,2.0144593333594962e-05
0,ccgt,PRT_1,methane,twh,
0,ccgt,PRT_2,electricity,twh,1.3881400346505443e-05
0,ccgt,PRT_2,methane,twh,
0,chp_biofuel_extraction,PRT_1,biofuel,twh,
0,chp_biofuel_extraction,PRT_1,electricity,twh,8.586897253694251e-05
0,chp_biofuel_extraction,PRT_1,heat,twh,0.0001447628139170016
0,chp_biofuel_extraction,PRT_2,biofuel,twh,
0,chp_biofuel_extraction,PRT_2,electricity,twh,6.967805661823627e-05
0,chp_biofuel_extraction,PRT_2,heat,twh,0.00012652850854437522
0,chp_hydrogen,PRT_1,electricity,twh,9.640519319560075e-05
0,chp_hydrogen,PRT_1,heat,twh,6.100206466601811e-05
0,chp_hydrogen,PRT_1,hydrogen,twh,
0,chp_hydrogen,PRT_2,electricity,twh,8.520366999973593e-05
0,chp_hydrogen,PRT_2,heat,twh,5.2573293695781534e-05
0,chp_hydrogen,PRT_2,hydrogen,twh,
0,chp_methane_extraction,PRT_1,electricity,twh,5.8922120918414126e-05
0,chp_methane_extraction,PRT_1,heat,twh,1.8503331828819483e-05
0,chp_methane_extraction,PRT_1,methane,twh,
0,chp_methane_extraction,PRT_2,electricity,twh,4.263743026537456e-05
0,chp_methane_extraction,PRT_2,heat,twh,1.3631347107143879e-05
0,chp_methane_extraction,PRT_2,methane,twh,
0,chp_wte_back_pressure,PRT_1,electricity,twh,0.22311511383655241
0,chp_wte_back_pressure,PRT_1,heat,twh,7.078388495556362e-06
0,chp_wte_back_pressure,PRT_1,waste,twh,
0,chp_wte_back_pressure,PRT_2,electricity,twh,0.21835971542980306
0,chp_wte_back_pressure,PRT_2,heat,twh,7.591599732968472e-06
0,chp_wte_back_pressure,PRT_2,waste,twh,
0,dac,PRT_1,co2,100kt,25.095821287364387
0,dac,PRT_1,electricity,twh,
0,dac,PRT_2,co2,100kt,35.24593212166737
0,dac,PRT_2,electricity,twh,
0,demand_cooking,PRT_1,cooking,twh,
0,demand_cooking,PRT_2,cooking,twh,
0,demand_elec,PRT_1,electricity,twh,
0,demand_elec,PRT_2,electricity,twh,
0,demand_heat,PRT_1,heat,twh,
0,demand_heat,PRT_2,heat,twh,
0,demand_heavy_transport,PRT_1,transport,billion_km,
0,demand_heavy_transport,PRT_2,transport,billion_km,
0,demand_industry_diesel,PRT_1,diesel,twh,
0,demand_industry_diesel,PRT_2,diesel,twh,
0,demand_industry_kerosene,PRT_1,kerosene,twh,
0,demand_industry_kerosene,PRT_2,kerosene,twh,
0,demand_industry_methane,PRT_1,methane,twh,
0,demand_industry_methane,PRT_2,methane,twh,
0,demand_industry_methanol,PRT_1,methanol,twh,
0,demand_industry_methanol,PRT_2,methanol,twh,
0,demand_light_transport,PRT_1,transport,billion_km,
0,demand_light_transport,PRT_2,transport,billion_km,
0,el_export,ESP-sink,electricity,twh,
0,el_import,ESP-sink,electricity,twh,6.454952493619018
0,electric_heater,PRT_1,electricity,twh,
0,electric_heater,PRT_1,heat,twh,0.0006869210341883783
0,electric_heater,PRT_2,electricity,twh,
0,electric_heater,PRT_2,heat,twh,0.0011247557287165485
0,electric_hob,PRT_1,cooking,twh,2.3972160069800212
0,electric_hob,PRT_1,electricity,twh,
0,electric_hob,PRT_2,cooking,twh,2.6157393826278663
0,electric_hob,PRT_2,electricity,twh,
0,electrolysis,PRT_1,electricity,twh,
0,electrolysis,PRT_1,hydrogen,twh,0.0032172422337836157
0,electrolysis,PRT_2,electricity,twh,
0,electrolysis,PRT_2,hydrogen,twh,29.253276526946784
0,existing_pv,PRT-10_1,electricity,twh,0.3110112000922836
0,existing_pv,PRT-12_1,electricity,twh,0.16049071434690043
0,existing_pv,PRT-15_1,electricity,twh,0.3099458467631529
0,existing_pv,PRT-3_1,electricity,twh,0.8172179151759248
0,existing_pv,PRT-9_1,electricity,twh,0.17370867443554322
0,existing_wind,PRT-10_1,electricity,twh,0.35033733455506627
0,existing_wind,PRT-11_1,electricity,twh,1.4759598925706432
0,existing_wind,PRT-12_1,electricity,twh,0.3707906215308352
0,existing_wind,PRT-15_1,electricity,twh,0.3366565456530771
0,existing_wind,PRT-16_1,electricity,twh,0.10002804571686777
0,existing_wind,PRT-17_1,electricity,twh,0.29455549206540077
0,existing_wind,PRT-18_1,electricity,twh,2.4596731366179614
0,existing_wind,PRT-19_1,electricity,twh,2.0272602441186245
0,existing_wind,PRT-1_1,electricity,twh,3.6476967021947537e-07
0,existing_wind,PRT-20_1,electricity,twh,2.3539534962425144
0,existing_wind,PRT-3_1,electricity,twh,0.5114189827912448
0,existing_wind,PRT-4_1,electricity,twh,1.0197819370607397
0,existing_wind,PRT-5_1,electricity,twh,0.5008554437339012
0,existing_wind,PRT-6_1,electricity,twh,2.1221731303326514
0,existing_wind,PRT-7_1,electricity,twh,1.4380991462569561
0,existing_wind,PRT-9_1,electricity,twh,0.9221562085065993
0,gas_hob,PRT_1,cooking,twh,8.713942894882658e-06
0,gas_hob,PRT_1,methane,twh,
0,gas_hob,PRT_2,cooking,twh,4.996483441998141e-06
0,gas_hob,PRT_2,methane,twh,
0,h2_export,ESP-sink,hydrogen,twh,
0,h2_import,ESP-sink,electricity,twh,0.00011007896573640584
0,heat_storage_big,PRT_1,heat,twh,0.005351418123615899
0,heat_storage_big,PRT_2,heat,twh,0.0057282797610336625
0,heat_storage_small,PRT_1,heat,twh,0.09002706130930231
0,heat_storage_small,PRT_2,heat,twh,0.08705331513825496
0,heavy_transport_ev,PRT_1,electricity,twh,
0,heavy_transport_ev,PRT_1,transport,billion_km,0.9127245752379065
0,heavy_transport_ev,PRT_2,electricity,twh,
0,heavy_transport_ev,PRT_2,transport,billion_km,1.1317176889592309
0,heavy_transport_ice,PRT_1,diesel,twh,
0,heavy_transport_ice,PRT_1,transport,billion_km,6.9369620622075625e-06
0,heavy_transport_ice,PRT_2,diesel,twh,
0,heavy_transport_ice,PRT_2,transport,billion_km,4.292545329066233e-06
0,hp,PRT_1,electricity,twh,
0,hp,PRT_1,heat,twh,0.013724082229788704
0,hp,PRT_2,electricity,twh,
0,hp,PRT_2,heat,twh,10.65871706364656
0,hydro_reservoir,PRT_1,electricity,twh,2.1573928478847084
0,hydro_reservoir,PRT_2,electricity,twh,0.3939407932945773
0,hydro_run_of_river,PRT_1,electricity,twh,2.519490705965859
0,hydro_run_of_river,PRT_2,electricity,twh,0.37677621036589626
0,hydrogen_storage,PRT_1,hydrogen,twh,4.0849937302505076e-05
0,hydrogen_storage,PRT_2,hydrogen,twh,4.084781327697335e-05
0,hydrogen_to_liquids,PRT_1,co2,100kt,
0,hydrogen_to_liquids,PRT_1,diesel,twh,3.583733913459095
0,hydrogen_to_liquids,PRT_1,electricity,twh,
0,hydrogen_to_liquids,PRT_1,hydrogen,twh,
0,hydrogen_to_liquids,PRT_1,kerosene,twh,5.3756008701886415
0,hydrogen_to_liquids,PRT_2,co2,100kt,
0,hydrogen_to_liquids,PRT_2,diesel,twh,4.634198921990265
0,hydrogen_to_liquids,PRT_2,electricity,twh,
0,hydrogen_to_liquids,PRT_2,hydrogen,twh,
0,hydrogen_to_liquids,PRT_2,kerosene,twh,6.951298382985396
0,hydrogen_to_methane,PRT_1,co2,100kt,
0,hydrogen_to_methane,PRT_1,hydrogen,twh,
0,hydrogen_to_methane,PRT_1,methane,twh,9.902098349539012e-05
0,hydrogen_to_methane,PRT_2,co2,100kt,
0,hydrogen_to_methane,PRT_2,hydrogen,twh,
0,hydrogen_to_methane,PRT_2,methane,twh,1.424853932115278
0,hydrogen_to_methanol,PRT_1,co2,100kt,
0,hydrogen_to_methanol,PRT_1,hydrogen,twh,
0,hydrogen_to_methanol,PRT_1,methanol,twh,3.4623821488866966e-05
0,hydrogen_to_methanol,PRT_2,co2,100kt,
0,hydrogen_to_methanol,PRT_2,hydrogen,twh,
0,hydrogen_to_methanol,PRT_2,methanol,twh,6.341591797914267e-05
0,light_transport_ev,PRT_1,electricity,twh,
0,light_transport_ev,PRT_1,transport,billion_km,33.991098999948264
0,light_transport_ev,PRT_2,electricity,twh,
0,light_transport_ev,PRT_2,transport,billion_km,36.03957406853914
0,light_transport_ice,PRT_1,diesel,twh,
0,light_transport_ice,PRT_1,transport,billion_km,5.434955202329508e-05
0,light_transport_ice,PRT_2,diesel,twh,
0,light_transport_ice,PRT_2,transport,billion_km,3.4782779934051824e-05
0,methane_boiler,PRT_1,heat,twh,0.00021841652986011572
0,methane_boiler,PRT_1,methane,twh,
0,methane_boiler,PRT_2,heat,twh,0.000129578050381603
0,methane_boiler,PRT_2,methane,twh,
0,methane_storage,PRT_1,methane,twh,5.785354288002148
0,methane_storage,PRT_2,methane,twh,5.8615922578074
0,open_field_pv,PRT-10_1,electricity,twh,0.002936909273245584
0,open_field_pv,PRT-11_1,electricity,twh,17.37397853715275
0,open_field_pv,PRT-12_1,electricity,twh,0.0006271443868033819
0,open_field_pv,PRT-14_1,electricity,twh,0.0007302584761483712
0,open_field_pv,PRT-15_1,electricity,twh,0.001426362983465245
0,open_field_pv,PRT-16_1,electricity,twh,0.0006085582619740314
