lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
root,,,,,,,213358.10732292334,59955370921.11349,161907982475.38986,790154193600.1288
,Energysystem,,,,,,213358.10732292334,59955370921.11349,161907982475.38986,790154193600.1288
,,Generation,,,,,4457.473009559624,2347757817.8786826,423627096.315759,7534774114.5751505
,,,Electricity_generation,,hour * terawatt,177.90892203861907,2229.380963472312,1850815905.5887785,419939056.6325386,6795296554.654694
,,,,wind_onshore__electricity___PRT_1,kilowatt hour,79331661023.02173,342.26590443699706,80960626.68439278,162518087.32905176,1157089408.806762
,,,,wind_offshore__electricity___PRT_1,kilowatt hour,112954.0261905,0.0007115830045773418,43.033509535234465,235.96236201544644,1921.7547180352378
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2326758419.811469,1.8060736589624196,412695.53801573697,968709.4847638904,10163512.438283782
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,343247369.8553662,0.2664350660377822,60881.54976277723,142905.675117974,1499338.686548571
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,387415059.1219843,0.6770797080828734,42505.72760067955,129987.41558518018,20169843.724197224
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2137436799.170251,3.735567448997834,234511.54987389006,717163.3600058131,111280563.81589413
,,,,ccgt__electricity___PRT_1,kilowatt hour,6423636.2423313,0.7205410457370597,4027.906702700138,25305.580950405794,3436987.848473831
,,,,ccgt__electricity___PRT_2,kilowatt hour,6532591.1202082,0.7327625444960398,4096.226465596249,25734.80306146728,3495284.517113616
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,72574447.433659,30.789453028478235,28677545.775054183,116419.27824705819,114970958.86830378
