lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,29422663743.212738,10709661070.2948,111374649908.08571,1548151410.7619648,50247617.838069946
,Energysystem,,,,,,29422663743.212738,10709661070.2948,111374649908.08571,1548151410.7619648,50247617.838069946
,,Generation,,,,,6952969690.534344,480464300.5060224,16229539687.915096,343718027.1316732,4033642.3736776863
,,,Electricity_generation,,hour * terawatt,179.96260044099856,2309162535.396921,448350233.2565601,8004352795.724803,304603933.6387843,3656877.5466422387
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,1893979.8528624,1932.9252287341274,3879.991469392999,27624.73595726848,247.1768837101641,11.884459405925494
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,1492213.6835074,1522.8976541318661,3056.936616161333,21764.75580564836,194.7437442689894,9.36343273103046
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,812001.3095661,828.69826552367,1663.459170096451,11843.484892153274,105.97153552686581,5.0951949600919075
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,1282456.9151585998,1308.827712702029,2627.23063453033,18705.338181869658,167.3691002041433,8.047238266454514
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,479536.3753849,489.3969456140978,982.3742543780287,6994.301302594115,62.582665129435924,3.0090238702093632
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,580846.0049618,592.7897793030671,1189.9163240122223,8471.957869317857,75.80424110848972,3.644727665149909
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,638732.6610371,651.8667407937296,1308.5024491229558,9316.266528327396,83.3588321656001,4.007958358069426
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,2618574.9119871,2672.4199338141048,5364.390917402082,38193.352700498355,341.7413260902933,16.431192336152783
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,31445.26303174746,32.091863154043814,64.41850589496276,458.6464249053785,4.103814574309932,0.1973146395630606
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,1068430.4078384,1090.4002438987175,2188.777700987433,15583.644071351955,139.4372269969205,6.704251785369821
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,606009.6528868,618.4708592351404,1241.466365147244,8838.983489473014,79.08826341236652,3.802626046238368
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,1890482.4914196,1929.3559459923752,3872.826803736563,27573.725021196937,246.72045494073183,11.862513951036588
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,523082.8434811,533.8388477156167,1071.5831889328024,7629.450446990506,68.26576691348727,3.282271883667184
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,499166.11904570006,509.43033141937286,1022.5875849712878,7280.611890723968,65.14447636466309,3.1321977737372757
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,800650.2673997,817.1138134288582,1640.2055189746607,11677.923710611643,104.49014953311938,5.023968753912289
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,1096946.5967651,1119.5028004070007,2247.1957298769235,15999.568342252134,143.1587780481742,6.883186893326446
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,422603.0343553,431.2929013812691,865.7410826084975,6163.897267074773,55.152487985322324,2.6517750962908524
