lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite),agricultural land occupation (LOP),surplus ore potential (SOP),global warming potential (GWP1000)
root,,,,,,,45167.19827356197,22713407964.51364,9816065393.21146,94273664668.80067
,Energysystem,,,,,,45167.19827356197,22713407964.51364,9816065393.21146,94273664668.80067
,,Generation,,,,,20110.68380132142,5603246320.986117,268809311.31923777,11861153927.474924
,,,Electricity_generation,,hour * terawatt,104.62345615197611,1180.0926158702482,960745979.299235,236703443.80792487,3638356262.701401
,,,,wind_onshore__electricity___PRT_1,kilowatt hour,56156251894.63052,242.41383793192276,57308425.223578885,115041313.79095522,819408264.792419
,,,,wind_offshore__electricity___PRT_1,kilowatt hour,118948.5550318796,0.0007496679801950871,45.31514182518201,248.48536207022988,2024.557726096276
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,376776210.3658963,0.2931835406153764,66823.63095188641,156865.68307992353,1647630.479161078
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2519490705.965859,1.9605091440668359,446847.5241427949,1048955.9046422893,11017653.356987651
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,393940793.2945773,0.6899831911433658,43211.5342427033,132178.61980143303,20513394.126848944
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2157392847.8847084,3.7786510741829633,236645.34458167976,723868.189995615,112340358.06525362
,,,,ccgt__electricity___PRT_1,kilowatt hour,20144.593333594963,0.0022597830502238334,12.630483903927168,79.35875330535177,10778.833611796052
,,,,ccgt__electricity___PRT_2,kilowatt hour,13881.400346505445,0.0015571896983364373,8.703516825603591,54.685175710564394,7427.566402326298
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,85868.97253694251,0.03643204650065285,33930.81555723013,137.74820066902635,136038.06270458302
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,69678.05661823627,0.029562647878170353,27533.03337841021,111.77526217080278,110387.57720354725
,,,,open_field_pv__electricity___PRT_1,kilowatt hour,39447363285.14897,922.8334144586954,897688279.910542,117194086.20380212,2648010243.0073695
,,,,existing_wind__electricity___PRT_1,kilowatt hour,922156208.5065992,3.980739777609571,941076.3419433031,1889122.9055975038,13455713.178640712
,,,,existing_pv__electricity___PRT_1,kilowatt hour,173708674.4355432,4.063748646294193,3953020.6374507844,516070.72490244225,11660661.471275916
,,,,roof_mounted_pv__electricity___PRT_1,kilowatt hour,44403.53070887512,0.0011139651173180977,80.93896438197514,110.27804214154149,2900.957198614674
,,,,chp_wte_back_pressure__electricity___PRT_2,kilowatt hour,218359715.42980307,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__electricity___PRT_1,kilowatt hour,223115113.8365524,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__electricity___PRT_1,kilowatt hour,58922.120918414126,0.003987416954414059,21.88108870305338,138.92497683317663,19021.943570628
,,,,chp_methane_extraction__electricity___PRT_2,kilowatt hour,42637.43026537456,0.002885388537955158,15.8336696196359,100.52937539860993,13764.7250277675
,,,,waste_supply__waste___PRT_2,kilowatt hour,1006265969.7225946,0.0,0.0,0.0,0.0
,,,,waste_supply__waste___PRT_1,kilowatt hour,1028180248.0947118,0.0,0.0,0.0,0.0
,,,Thermal_generation,,,,18930.59118545117,4642500341.686882,32105867.5113129,8222797664.773522
,,,,biofuel_supply__biofuel___PRT_1,kilogram,2324535827.387161,10214.08843031293,2257375565.113947,16570640.9331393,3246312663.4667025
,,,,biofuel_supply__biofuel___PRT_2,kilogram,1836743801.9986584,8070.713901659994,1783676778.97869,13093376.118964003,2565090454.6134596
,,,,chp_biofuel_extraction__heat___PRT_1,megajoule,521146.1301012058,0.010421460819849068,9705.978095352595,39.40315006004354,38913.9615341382
,,,,chp_biofuel_extraction__heat___PRT_2,megajoule,455502.6307597508,0.009108774957373835,8483.414344530644,34.43993383040613,34012.36395190521
,,,,chp_wte_back_pressure__heat___PRT_2,megajoule,27329.759038686498,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__heat___PRT_1,megajoule,25482.1985840029,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__heat___PRT_2,megajoule,49072.849585717966,0.0001699313982949072,0.9325044559992942,5.9205537837695905,810.6565076700456
